Feliz,au1,au2,au4,au6,au10,au12,au14
1.0,1.0,0.7521471381187439,0.6,0.997540295124054,0.0,1.0,0.0
0.0,0.6317326426506042,0.2761465311050415,0.6561569571495056,0.0,0.41221389653085244,0.0,0.0
1.0,0.11530303955078125,0.2429896593093872,0.14314497649908117,1.0,0.79530764750252,0.7766903763504729,0.5
0.0,0.0,0.25365909934043884,0.03634408324978082,0.6380131244659424,0.0,1.0,0.0
1.0,0.0,0.0,0.3043777346611023,0.0,0.75,0.0,1.0
1.0,0.0,0.0,0.4,0.0,0.75,0.0,1.0
0.0,0.0,0.0,0.4,0.0,0.75,0.0,0.5
1.0,0.12199317663908005,0.3636244535446167,0.15,0.2376221311464262,0.75,1.0,1.0
1.0,0.18285414576530457,0.0,0.55,0.0,0.8448303932778677,0.5,0.5
1.0,0.0,0.0,0.36238011717796326,0.5533992911612111,0.75,1.0,1.0
0.0,0.27126210927963257,0.0,0.6336650906768317,0.0,0.75,0.0,0.0
1.0,0.689091682434082,0.2289438098669052,0.5,0.0,0.75,0.0,0.5
1.0,0.737268328666687,0.17180988192558289,0.7872476577758789,0.8490006923675537,0.75,1.0,0.0
0.0,0.0,0.0,0.4446277682734614,0.271819531917572,0.4205918046665967,0.0,0.0
1.0,0.0,0.21001814305782318,0.0,1.0,0.6786369283029569,0.0,0.903186023235321
1.0,0.0,0.1100260317325592,0.2,0.85,0.7142500517404649,0.0,0.5
1.0,0.0,0.5391606092453003,0.0,1.0,0.0,1.0,0.5
1.0,0.07117012143135071,0.19105368852615356,0.3188205659389496,1.0,0.0,1.0,0.9223235845565796
1.0,0.0,0.32989710569381714,0.0,0.88177490234375,0.6711528300631229,0.5,1.0
0.0,0.0,0.19266539812088013,0.0,0.9545257687568665,0.7860970539624765,0.0,0.5
1.0,0.0,0.0,0.28840941190719604,0.0,0.75,0.0,1.0
1.0,0.0,0.0,0.4,0.0,0.75,0.0,1.0
1.0,0.24618133902549744,0.7804832458496094,0.24164129380869992,1.0,0.375,1.0,1.0
1.0,1.0,1.0,0.6,1.0,0.0,1.0,0.0
1.0,0.10048294067382812,0.33575811982154846,0.11296232692087926,0.9468826055526733,0.75,1.0,1.0
0.0,0.4617692232131958,0.2906750738620758,0.6397857821139196,1.0,0.0,0.5,0.5
0.0,0.0,0.6055415868759155,0.0,1.0,0.5923731969806811,0.45036229434091124,0.5
1.0,0.7406423687934875,0.2130298912525177,0.6842765808105469,1.0,0.7526004539735025,0.0,0.5
0.0,0.590924859046936,0.05738484486937523,0.8972717523574829,0.21381355822086334,0.0,0.0,0.0
1.0,0.2273445874452591,0.28000226616859436,0.3472610522303702,0.8221222162246704,0.75,1.0,1.0
1.0,0.0,0.25996047258377075,0.25837975836535365,0.1954839702490866,0.7443188375362005,0.9698038739865198,1.0
0.0,0.2234005630016327,0.14893370866775513,0.6662963023448693,0.7430566549301147,0.0,1.0,0.9728057980537415
1.0,0.7708694934844971,0.25781238079071045,0.6851019077850065,0.85,0.75,1.0,0.5
0.0,0.5049391984939575,0.15708202123641968,0.6887981647123438,0.9903488159179688,0.8046363891779449,0.0,0.0
1.0,1.0,1.0,0.6,1.0,0.0,1.0,0.0
1.0,0.284993976354599,0.3990628719329834,0.2983518420887005,0.22726235469619416,0.75,0.0,0.5
0.0,1.0,1.0,0.6,1.0,0.0,1.0,0.0
0.0,0.0,0.11806640028953552,0.2,0.0,0.75,0.0,0.5
1.0,0.4575173854827881,0.8548750281333923,0.44999999999999996,1.0,0.0,1.0,1.0
1.0,0.28524336218833923,0.4945273697376251,0.21599122881889343,1.0,0.0,1.0,0.5
0.0,0.5293797850608826,0.8257917761802673,0.5791575545591948,1.0,0.0,1.0,0.0
